,index,index.1,TimeStamp (sec), Horizontal (meters), Cadence (stokes/min), HRCur (bpm), longitude, latitude, Stroke500mPace (sec/500m), Power (watts), DragFactor, DriveLength (meters), StrokeDistance (meters), DriveTime (ms), StrokeRecoveryTime (ms), AverageDriveForce (lbs), PeakDriveForce (lbs), lapIdx, WorkoutState, ElapsedTime (sec),cum_dist, AverageBoatSpeed (m/s), AverageDriveForce (N), PeakDriveForce (N), Calories (kCal), Stroke Number,driveenergy,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an,originalvelo
40,40,40,1731007411.6,316.20000000000005,20.0,125.0,0.0,0.0,169.3853287443015,70.36674807112274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,124.0,316.20000000000005,2.9291154071470418,0.0,0.0,1.0,40,211.1002442133682,125.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,70.36674807112274,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.9291154071470418
41,41,41,1731007414.1,323.6,20.0,125.0,0.0,0.0,168.49269400385015,70.36674807112274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,126.5,323.6,2.9291154071470418,0.0,0.0,1.0,41,211.1002442133682,125.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,70.36674807112274,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.9291154071470418
42,42,42,1731007417.1999998,332.90000000000003,21.0,125.0,0.0,0.0,166.75705471911996,75.82725435713557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,129.59999990463257,332.90000000000003,3.003003003003003,0.0,0.0,1.0,42,216.64929816324448,125.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,75.82725435713557,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,3.003003003003003
43,43,43,1731007420.1999998,342.20000000000005,20.0,125.0,0.0,0.0,161.7524327426552,81.11568549603187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,132.59999990463257,342.20000000000005,3.071253071253071,0.0,0.0,1.0,43,243.34705648809563,125.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,81.11568549603187,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,3.071253071253071
44,44,44,1731007423.1999998,351.5,20.0,126.0,0.0,0.0,163.28117052652246,83.3997871375795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,135.59999990463257,351.5,3.09981401115933,0.0,0.0,1.0,44,250.19936141273848,126.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,83.3997871375795,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,3.09981401115933
45,45,45,1731007426.1,360.1,20.0,126.0,0.0,0.0,169.71281915129666,80.37287249874824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,138.5,360.1,3.061849357011635,0.0,0.0,1.0,45,241.11861749624472,126.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,80.37287249874824,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,3.061849357011635
46,46,46,1731007429.6,369.5,19.0,126.0,0.0,0.0,178.88423843584368,52.58981677284263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,142.0,369.5,2.658160552897395,0.0,0.0,1.0,46,166.0731055984504,126.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,52.58981677284263,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.658160552897395
47,47,47,1731007432.6,377.4,19.0,126.0,0.0,0.0,187.656139003547,52.58981677284263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,145.0,377.4,2.658160552897395,0.0,0.0,1.0,47,166.0731055984504,126.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,52.58981677284263,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.658160552897395
48,48,48,1731007436.1999998,386.7000000000001,18.0,127.0,0.0,0.0,190.76422154563517,51.92448174763369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,148.59999990463257,386.7000000000001,2.6469031233456857,0.0,0.0,1.0,48,173.08160582544565,127.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,51.92448174763369,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.6469031233456857
49,49,49,1731007439.1,394.7000000000001,20.0,126.0,0.0,0.0,186.7872049415733,52.92674997550131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,151.5,394.7000000000001,2.6638252530633992,0.0,0.0,1.0,49,158.78024992650393,126.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,52.92674997550131,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.6638252530633992
50,50,50,1731007442.1,402.9,20.0,126.0,0.0,0.0,184.6335126328436,57.01682258755493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,154.5,402.9,2.7307482250136537,0.0,0.0,1.0,50,171.0504677626648,126.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,57.01682258755493,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.7307482250136537
51,51,51,1731007445.1999998,411.3,20.0,128.0,0.0,0.0,182.44627261448403,57.01682258755493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,157.59999990463257,411.3,2.7307482250136537,0.0,0.0,1.0,51,171.0504677626648,128.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,57.01682258755493,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.7307482250136537
52,52,52,1731007448.1999998,419.7000000000001,19.0,128.0,0.0,0.0,181.73127292015604,59.8141154205792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,160.59999990463257,419.7000000000001,2.774694783573807,0.0,0.0,1.0,52,188.88668027551324,128.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,59.8141154205792,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.774694783573807
53,53,53,1731007451.1999998,428.1,20.0,128.0,0.0,0.0,178.69656530718302,60.214208516524494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,163.59999990463257,428.1,2.7808676307007785,0.0,0.0,1.0,53,180.64262554957347,128.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,60.214208516524494,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.7808676307007785
54,54,54,1731007454.1,437.1,20.0,128.0,0.0,0.0,173.55167717303542,62.69128876514228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,166.5,437.1,2.818489289740699,0.0,0.0,1.0,54,188.07386629542685,128.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,62.69128876514228,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.818489289740699
